Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.001    0.000    0.001    0.000 std.py:102(acquire)
      107    0.002    0.000    0.003    0.000 std.py:106(release)
       55    0.000    0.000    0.001    0.000 std.py:110(__enter__)
       55    0.000    0.000    0.002    0.000 std.py:113(__exit__)
        2    0.000    0.000    0.000    0.000 std.py:1147(__del__)
       54    0.001    0.000    0.024    0.000 std.py:1150(__str__)
        4    0.000    0.000    0.000    0.000 std.py:1153(_comparable)
      140    0.000    0.000    0.000    0.000 std.py:1157(__hash__)
    52/28    0.002    0.000  816.509   29.161 std.py:1160(__iter__)
    50/49    0.012    0.000  226.778    4.628 std.py:1198(update)
        4    0.000    0.000    0.007    0.002 std.py:1265(close)
        4    0.000    0.000    0.000    0.000 std.py:1286(fp_write)
        2    0.000    0.000    0.000    0.000 std.py:1301(<lambda>)
    52/51    0.044    0.001   14.482    0.284 std.py:1325(refresh)
       82    0.002    0.000    7.537    0.092 std.py:1441(moveto)
       54    0.001    0.000    0.002    0.000 std.py:1446(format_dict)
       54    0.065    0.001    4.319    0.080 std.py:1464(display)
       54    0.000    0.000    0.000    0.000 std.py:153(__init__)
       54    0.000    0.000    0.000    0.000 std.py:163(colour)
       54    0.000    0.000    0.000    0.000 std.py:167(colour)
       54    0.000    0.000    0.000    0.000 std.py:186(__format__)
        6    0.000    0.000    0.000    0.000 std.py:226(__init__)
      294    0.001    0.000    0.001    0.000 std.py:231(__call__)
      106    0.002    0.000    0.002    0.000 std.py:400(format_interval)
        2    0.000    0.000    0.000    0.000 std.py:438(status_printer)
       54    0.001    0.000    3.017    0.056 std.py:451(fp_write)
       54    0.030    0.001    3.069    0.057 std.py:457(print_status)
       54    0.004    0.000    0.021    0.000 std.py:464(format_meter)
        2    0.000    0.000    0.000    0.000 std.py:663(__new__)
        2    0.000    0.000    0.000    0.000 std.py:679(_get_free_pos)
        2    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
        1    0.000    0.000    0.000    0.000 std.py:708(<lambda>)
       49    0.000    0.000    0.000    0.000 std.py:760(get_lock)
        2    0.000    0.000    0.002    0.001 std.py:952(__init__)
       14    0.000    0.000    0.000    0.000 subprocess.py:290(_optim_args_from_interpreter_flags)
       14    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
       42    0.000    0.000    0.001    0.000 synchronize.py:100(__getstate__)
        6    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        2    0.000    0.000    0.000    0.000 synchronize.py:151(__init__)
        4    0.000    0.000    0.000    0.000 synchronize.py:168(__init__)
        6    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        6    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
